F1,F2,F3,F4,F5,F6,F7,F8,label
44.0,5.0,0.4318181818181818,0.18181818181818182,1.6136363636363635,0.8636363636363636,0.8863636363636364,0.0,0
271.0,5.180811808118081,0.3763837638376384,0.0996309963099631,1.7712177121771218,0.6605166051660517,0.84,0.0,0
358.0,4.941340782122905,0.44692737430167595,0.18156424581005587,1.5977653631284916,0.7569832402234636,1.02,0.0,0
104.0,5.211538461538462,0.5576923076923077,0.11538461538461539,1.75,0.6442307692307693,0.74,0.0,0
317.0,4.842271293375394,0.5488958990536278,0.22712933753943218,1.4037854889589905,0.637223974763407,1.22,1.0,0
30.0,5.966666666666667,0.5666666666666667,0.03333333333333333,2.066666666666667,0.8666666666666667,0.6666666666666666,0.0,0
244.0,5.229508196721311,0.45901639344262296,0.1680327868852459,1.6885245901639345,0.7459016393442623,0.78,0.0,0
229.0,5.078602620087336,0.37117903930131,0.08296943231441048,1.6768558951965065,0.6550218340611353,0.76,0.0,0
454.0,4.900881057268722,0.47577092511013214,0.1696035242290749,1.6013215859030836,0.6960352422907489,0.7,1.0,0
415.0,5.240963855421687,0.46265060240963857,0.1686746987951807,1.7180722891566265,0.7156626506024096,0.56,0.0,0
59.0,5.559322033898305,0.423728813559322,0.2033898305084746,1.9830508474576272,0.7627118644067796,0.52,0.0,0
143.0,5.027972027972028,0.5174825174825175,0.13286713286713286,1.4195804195804196,0.8251748251748252,0.66,0.0,0
406.0,4.822660098522167,0.4187192118226601,0.16995073891625614,1.4211822660098523,0.6576354679802956,0.54,0.0,0
99.0,4.383838383838384,0.46464646464646464,0.13131313131313133,1.5858585858585859,0.46464646464646464,0.32,0.0,0
4.0,4.25,0.5,0.25,1.5,1.0,0.25,0.0,0
412.0,4.83252427184466,0.441747572815534,0.20631067961165048,1.5072815533980584,0.6213592233009708,0.68,0.0,0
436.0,5.075688073394495,0.48394495412844035,0.1353211009174312,1.584862385321101,0.5688073394495413,1.18,1.0,0
276.0,5.065217391304348,0.5507246376811594,0.17028985507246377,1.6268115942028984,0.7427536231884058,0.66,0.0,0
17.0,5.470588235294118,0.8235294117647058,0.058823529411764705,1.588235294117647,0.8823529411764706,0.5882352941176471,1.0,0
36.0,5.805555555555555,0.6388888888888888,0.05555555555555555,2.0,0.9166666666666666,0.5555555555555556,0.0,0
496.0,4.975806451612903,0.4596774193548387,0.15524193548387097,1.5483870967741935,0.6774193548387096,0.78,0.0,0
266.0,4.845864661654136,0.4699248120300752,0.20300751879699247,1.537593984962406,0.706766917293233,0.6,0.0,0
70.0,4.9714285714285715,0.6285714285714286,0.22857142857142856,1.5714285714285714,0.8571428571428571,0.78,1.0,0
76.0,5.815789473684211,0.6710526315789473,0.14473684210526316,1.605263157894737,0.881578947368421,0.46,0.0,0
351.0,4.47008547008547,0.5783475783475783,0.13105413105413105,1.5811965811965811,0.7578347578347578,0.74,0.0,0
118.0,4.508474576271187,0.4745762711864407,0.1271186440677966,1.38135593220339,0.7542372881355932,0.72,0.0,0
437.0,4.94279176201373,0.4965675057208238,0.15560640732265446,1.5697940503432495,0.5926773455377574,0.84,0.0,0
445.0,4.903370786516854,0.49213483146067416,0.1393258426966292,1.5932584269662922,0.6134831460674157,0.5,0.0,0
60.0,5.483333333333333,0.55,0.016666666666666666,2.2,0.7,0.28,0.0,0
102.0,5.186274509803922,0.5098039215686274,0.06862745098039216,2.0784313725490198,0.696078431372549,0.38,0.0,0
288.0,5.354166666666667,0.4583333333333333,0.125,1.7986111111111112,0.6979166666666666,0.78,0.0,0
127.0,4.551181102362205,0.5826771653543307,0.16535433070866143,1.4094488188976377,0.7795275590551181,0.58,0.0,0
205.0,4.9365853658536585,0.5609756097560976,0.17073170731707318,1.6,0.7414634146341463,0.68,0.0,0
381.0,4.879265091863517,0.6167979002624672,0.13123359580052493,1.6141732283464567,0.7086614173228346,0.84,0.0,0
307.0,4.990228013029316,0.38436482084690554,0.1563517915309446,1.6221498371335505,0.5276872964169381,0.78,0.0,0
